title,rating,ratingLevel,ratingDescription,release_year,user_rating_score,user_rating_size
0,White Chicks,PG-13,"crude and sexual humor, language and some drug content",80,2004,82.0,80
1,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,,82
2,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98.0,80
3,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94.0,80
4,Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97.0,80
5,The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98.0,80
6,Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77.0,80
7,Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88.0,80
8,The Hunter,R,language and brief violence,100,2011,,82
9,Lottie Dottie Chicken,TV-Y,Suitable for all ages.,10,2009,,82
10,Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96.0,80
11,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80
12,"ÌÒ Pai, ÌÒ - Look at This",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2007,,82
13,Nymphomaniac: Volume 1,NR,This movie has not been rated.,124,2013,,82
14,Hunter X Hunter (2011),NR,This movie has not been rated.,124,2013,57.0,80
15,OperaÌ¤Ìµes Especiais,TV-MA,,110,2015,,82
16,Hyena Road,R,"bloody war violence, language throughout and some sexual material",100,2015,,82
17,"Sex, Love and Therapy",NR,This movie has not been rated.,124,2014,,82
18,City of God: 10 Years Later,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,,82
19,Happily Married,TV-14,,90,2015,,82
20,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97.0,80
21,90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62.0,80
22,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96.0,80
23,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94.0,80
24,Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92.0,80
25,Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98.0,80
26,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98.0,80
27,The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81.0,80
28,One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90.0,80
29,Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,,82
30,The Life Aquatic with Steve Zissou,R,"language, some drug use, violence and partial nudity",100,2004,,82
31,The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009,,82
32,30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66.0,80
33,Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,75.0,80
34,Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80
35,Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,,82
36,Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,,82
37,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92.0,80
38,5 to 7,R,some sexual material,100,2014,,82
39,Master of None,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82
40,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68.0,80
41,MerlÌ?,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,,82
42,The Brothers,R,strong sexual content and language,100,2001,,82
43,Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,,82
44,The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
45,Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59.0,80
46,Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73.0,80
47,Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,,82
48,Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80
49,Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79.0,80
50,November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82
51,Honeytrap,NR,This movie has not been rated.,124,2014,,82
52,Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,60,2007,,82
53,Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,82.0,80
54,Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,,82
55,Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91.0,80
56,Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79.0,80
57,Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,55.0,80
58,Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,58.0,80
59,The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,,82
60,The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,,82
61,Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,63.0,80
62,Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82
63,The Waterboy,PG-13,language and some crude sexual humor,80,1998,82.0,80
64,10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80,1999,68.0,80
65,Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86.0,80
66,How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56.0,80
67,The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80,2006,77.0,80
68,Step Up,PG-13,"thematic elements, brief violence and innuendo",80,2006,64.0,80
69,High School Musical 2,TV-G,Suitable for all ages.,35,2007,58.0,80
70,Twilight,PG-13,some violence and one sexual scene,80,2008,89.0,80
71,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80
